,Id,Books,Book checkout,Book Returned,Days allowed to borrow,Customer ID
0,1,Catcher in the Rye,20/02/2023,25/02/2023,2 weeks,1
5,6,Little Women,02/04/2023,01/05/2023,2 weeks,1
8,9,Catch 22,15/04/2023,16/04/2023,2 weeks,7
9,10,Animal Farm,20/04/2023,24/04/2023,2 weeks,2
10,11,1984,23/04/2023,27/04/2023,2 weeks,8
12,13,East of Eden,30/04/2023,05/05/2023,2 weeks,2
13,14,America Is in the Heart,01/05/2023,07/05/2023,2 weeks,3
14,15,Wuthering Heights,01/05/2023,10/05/2023,2 weeks,9
15,16,Dark Tales,15/05/2023,01/06/2023,2 weeks,2
17,18,Les Miserables,03/06/2023,07/06/2023,2 weeks,5
18,19,Dracula,10/06/2023,10/07/2023,2 weeks,10
19,20,Frankenstein,01/06/2023,20/06/2023,2 weeks,2
